violation_count,latitude,longitude,avg_violations_last_3,fail_rate_last_3,days_since_last_inspection,trend_last_3,BusinessName_id,Address_id,insp_year,insp_month,insp_day,insp_dow,insp_days_since_ref,inspection_type_clean_change of ownership,inspection_type_clean_complaint,inspection_type_clean_complaint (i),inspection_type_clean_complaint (r),inspection_type_clean_complaint reinspection/follow-up,inspection_type_clean_foodborne illness,inspection_type_clean_foodborne illness investigation,inspection_type_clean_new construction,inspection_type_clean_new ownership,inspection_type_clean_new ownership (i),inspection_type_clean_new ownership (r),inspection_type_clean_new ownership - followup,inspection_type_clean_non-inspection site visit,inspection_type_clean_plan check,inspection_type_clean_plan check (i),inspection_type_clean_plan check (r),inspection_type_clean_reinspection,inspection_type_clean_reinspection/followup,inspection_type_clean_routine,inspection_type_clean_site visit,inspection_type_clean_structural,inspection_type_clean_structural inspection,inspection_type_clean_nan,failFlag
0.0,37.737946,-122.43511,0.0,6.109476e-06,417.26813,0.400499,4221.325,1622.6648,2022.0762,1.5584922,22.200657,2.5763264,790.66064,0.00046008825,0.0,0.0,1.8775463e-06,0.0,0.0,8.046627e-06,2.682209e-07,0.0,0.00034803152,0.0,6.493926e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0861626e-07,0.00021123886,5.9604645e-08,1.0
0.0,37.689713,-122.383545,0.0,0.008951604,27.735327,0.42384252,5872.1865,2873.242,2022.052,6.241926,20.234402,3.1927733,913.67944,0.00027298927,5.364418e-07,0.0052873194,9.357929e-06,0.0012322068,1.1920929e-07,0.0,0.0,0.00036779046,0.0,0.003979832,0.00029197335,0.0,0.0,2.9802322e-08,4.506111e-05,0.0,1.0,0.0,0.0,0.0,0.0049043596,0.0,1.0
7.1714892,37.72752,-122.50819,2.65044,0.278393,303.70285,-1.2993866,4607.499,4968.8022,2024.955,4.2138567,17.682024,2.2235727,1918.7919,0.0034275055,0.0,0.0,0.000113755465,0.0,0.0,2.0861626e-07,5.9604645e-08,0.0,5.453825e-06,0.0,0.0003491342,0.0,2.5629997e-06,0.0,0.0,0.0,0.0,1.0,0.0,0.008475602,5.0902367e-05,0.00028574467,1.0
0.0,37.80386,-122.41698,0.0,7.4505806e-07,14.298947,-1.1362488,4037.8572,6369.9614,2020.9313,5.4653215,16.19164,0.3067444,469.00882,0.00042676926,0.000104516745,0.00028565526,4.7683716e-07,8.46386e-06,2.9802322e-08,0.0,1.1920929e-07,6.0796738e-06,0.0,0.00045090914,1.6152859e-05,1.1920929e-07,0.0,7.247925e-05,2.592802e-06,0.0,1.0,0.0,0.0,0.0,0.018793732,0.0,1.0
0.0,37.731316,-122.421684,0.0,2.9802322e-08,47.570614,0.2756923,6089.7124,5868.5435,2020.2826,11.029618,24.249094,0.92103016,435.23566,0.0007633865,0.0007507801,0.0,0.0,0.0,0.0,0.0,8.252263e-05,0.0,0.0,0.0,4.7683716e-06,0.00028949976,0.0,0.00019344687,0.0,0.0,0.0,1.0,0.0,0.0,0.00012922287,0.0,1.0
0.0,37.75629,-122.393616,1.3113022e-06,0.0,219.90775,-0.04936851,340.54633,2730.749,2022.0728,10.98334,5.9180555,0.87976116,1058.4321,0.00046792626,1.7881393e-07,0.0,0.0,0.0,0.0,0.0,3.4570694e-06,0.0,0.0,0.0,6.467104e-06,5.3048134e-06,1.0311604e-05,8.940697e-08,0.0,0.0,0.0,1.0,0.0,0.0,0.00023922324,0.0,1.0
2.2530556e-05,37.73641,-122.38845,0.0039568543,7.611513e-05,518.1358,1.0922217,6689.897,4871.407,2023.0714,5.911246,22.160767,1.4745324,1293.1586,0.0043516755,2.9802322e-08,0.0,7.635355e-05,0.0,0.0,0.00040555,2.8043985e-05,0.0,0.00064507127,0.0,0.00047689676,1.4901161e-07,5.7816505e-05,0.0,0.0,0.0,0.0,1.0,0.0,4.1216612e-05,0.0027441978,7.2717667e-06,1.0
0.0,37.749187,-122.42338,0.0,0.07573503,37.91518,-0.4435918,5939.953,2463.0117,2022.154,3.1643975,12.83703,1.4094589,861.788,0.00037765503,2.9802322e-08,0.0061201155,3.695488e-06,0.00074130297,2.9802322e-08,0.0,0.0,0.0003811121,0.0,0.005175978,0.00021034479,0.0,0.0,0.0,3.194809e-05,0.0,1.0,0.0,0.0,0.0,0.0039066374,0.0,1.0
0.0,37.75137,-122.44612,0.0,8.940697e-08,336.39142,-0.27799714,6005.9595,60.855423,2022.6919,2.0771053,5.64339,2.2736669,1012.9693,0.00046008825,0.0,0.0,3.4570694e-06,0.0,0.0,3.749132e-05,1.4901161e-07,0.0,0.00026071072,0.0,2.4229288e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4901161e-07,0.00014132261,2.9802322e-08,1.0
0.0,37.73581,-122.43906,0.0,0.0,154.90071,-0.116200544,787.39557,4874.232,2021.0862,3.8173413,13.527516,0.70024395,490.46448,0.0010714829,7.5101852e-06,2.9802322e-08,2.2351742e-06,0.0,0.0,8.940697e-08,6.335974e-05,0.0,3.963709e-06,0.0,2.8520823e-05,4.61936e-06,0.0,1.6093254e-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0034162402,0.0,1.0
